"Image","Name","Price","Discount","Rating"
"https://images.meesho.com/images/products/61523143/oz5qq_512.jpg","Mital Refined Digital Print Women Long Gown Dresses","₹517","16%","NULL"
"https://images.meesho.com/images/products/62739697/tz65p_512.jpg","FAIJAN ENTERPRISES dresses","₹267","27%","3.7"
"https://images.meesho.com/images/products/62013535/ppiba_512.jpg","Trendy Glamorous Women Dresses","₹193","30%","NULL"
"https://images.meesho.com/images/products/62534499/vfgo1_512.jpg","SHIRT DRESS","₹867","10%","NULL"
"https://images.meesho.com/images/products/62780832/zqjs5_512.jpg","Amazing Women’s Party Wear Printed Dress","₹337","23%","3.9"
"https://images.meesho.com/images/products/62128267/3ejjo_512.jpg","The Heart Of Fashion Women's And Girl's Bodycon Printed Midi Dress","₹338","23%","4.0"
"https://images.meesho.com/images/products/62740991/w7mfz_512.jpg","Women Maxi Black Dress","₹348","22%","4.1"
"https://images.meesho.com/images/products/62450755/ob4pk_512.jpg","womaniyweb net dress for woman and girls","₹303","25%","4.0"
"https://images.meesho.com/images/products/62746780/2e3wp_512.jpg","D - D98 Dresses","₹767","12%","2.7"
"https://images.meesho.com/images/products/62124593/r6euv_512.jpg","NIOMI GROGEOUS GOWN","₹650","13%","3.6"
"https://images.meesho.com/images/products/62510916/j5qj2_512.jpg","Dress suit","₹2468","4%","NULL"
"https://images.meesho.com/images/products/62677496/whukh_512.jpg","Trendy Designer Women Dresses","₹349","22%","NULL"
"https://images.meesho.com/images/products/62748150/cr13o_512.jpg","Denim  Dress","₹495","17%","NULL"
"https://images.meesho.com/images/products/62040348/cohst_512.jpg","WOMEN'S WESTERN WEAR AMERICAN CREPE A-LINE SHORT DRESS","₹187","30%","3.3"
"https://images.meesho.com/images/products/62740977/yskmg_512.jpg","Women Skater Black Dress","₹278","26%","4.1"
"https://images.meesho.com/images/products/62060655/eeise_512.jpg","Treandy Dresses","₹247","29%","NULL"
"https://images.meesho.com/images/products/62741672/652aa_512.jpg","Classic Retro Women Dresses","₹222","30%","3.8"
"https://images.meesho.com/images/products/62748378/m26iu_512.jpg","Stylish Modern Women Dresses","₹667","13%","3.7"
"https://images.meesho.com/images/products/62013438/l87bo_512.jpg","Dresses","₹224","30%","3.8"
"https://images.meesho.com/images/products/62129700/rxb9l_512.jpg","Women's Western Party Wear Multicolor Fit And Flare Sleeveless (Inside Sleeve Attached) Black, Blue and Brown Dress(Combo Pack Of 4)","₹667","13%","3.8"
"https://images.meesho.com/images/products/62769843/q2geg_512.jpg","BLACK FLOWER DRESSES","₹268","27%","NULL"
"https://images.meesho.com/images/products/61968439/s7uur_512.jpg","Women Western Wear Rayon Dresses","₹367","21%","NULL"
"https://images.meesho.com/images/products/62122903/kzk5u_512.jpg","LELA Women Red Layered Mini Dress","₹4175","2%","NULL"
"https://images.meesho.com/images/products/61980910/1ni8u_512.jpg","TSM Evelyn Dress","₹1267","7%","NULL"
"https://images.meesho.com/images/products/62749879/r8cri_512.jpg","maxidress","₹628","14%","3.7"
"https://images.meesho.com/images/products/62756623/21pto_512.jpg","R K Textiles women Dress","₹367","21%","3.8"
"https://images.meesho.com/images/products/62740992/9nfo2_512.jpg","Women Maxi Blue Dress","₹328","23%","4.1"
"https://images.meesho.com/images/products/62030747/cmwk6_512.jpg","Womaniaweb net dress for women & girls","₹285","26%","NULL"
"https://images.meesho.com/images/products/62751467/s4ffa_512.jpg","Dresses","₹767","12%","2.7"
"https://images.meesho.com/images/products/61976360/lne5i_512.jpg","Classic Latest Women Gowns","₹828","11%","NULL"
"https://images.meesho.com/images/products/62122898/p9nb8_512.jpg","LELA Women Grey Day Dress","₹2275","4%","NULL"
"https://images.meesho.com/images/products/62744912/gf2jr_512.jpg","Rayon Gold Printed A-line Gown With Rayon Printed Crop Shrug","₹398","20%","3.9"
"https://images.meesho.com/images/products/62766869/ufxmr_512.jpg","twiffy women bodycone black sequnce dress","₹367","21%","3.4"
"https://images.meesho.com/images/products/61985327/fuxtk_512.jpg","Trendy Fabulous Women Dresses","₹195","30%","3.9"
"https://images.meesho.com/images/products/62741162/awi24_512.jpg","Aayu Women Maxi Black Dress","₹467","18%","3.3"
"https://images.meesho.com/images/products/62051161/epigm_512.jpg","Dresses","₹399","20%","NULL"
"https://images.meesho.com/images/products/62740975/9ldtz_512.jpg","Women Skater Multicolor Dress","₹278","26%","4.1"
"https://images.meesho.com/images/products/62168869/cbjnm_512.jpg","Beautiful Women Rayon Dresses","₹667","13%","NULL"
"https://images.meesho.com/images/products/61985892/9afwi_512.jpg","TSM Gianna Dress","₹1667","6%","NULL"
